timestamp,ens210_status,temperature_c,temperature_f,humidity,ens16x_status,etvoc,eco2,aqi
1321370,1,22.58,72.65,40.53,OK,347,857,191
1322380,1,22.57,72.62,40.54,OK,340,854,189
1323390,1,22.58,72.65,40.55,OK,353,860,192
1324400,1,22.58,72.65,40.52,OK,342,855,189
1325410,1,22.57,72.62,40.47,OK,342,855,189
1326420,1,22.55,72.6,40.45,OK,358,862,192
1327430,1,22.55,72.6,40.45,OK,364,865,194
1328440,1,22.58,72.65,40.44,OK,371,868,194
1329450,1,22.58,72.65,40.42,OK,373,869,194
1330460,1,22.58,72.65,40.45,OK,373,869,194
1331470,1,22.55,72.6,40.42,OK,356,861,189
1332480,1,22.6,72.68,40.48,OK,351,859,188
1333490,1,22.57,72.62,40.47,OK,351,859,189
1334500,1,22.57,72.62,40.51,OK,347,857,188
1335510,1,22.58,72.65,40.57,OK,342,855,187
1336520,1,22.58,72.65,40.59,OK,351,859,189
1337530,1,22.58,72.65,40.59,OK,349,858,189
1338540,1,22.57,72.62,40.59,OK,349,858,189
1339550,1,22.58,72.65,40.55,OK,347,857,188
1340560,1,22.54,72.57,40.53,OK,344,856,188
1341570,1,22.58,72.65,40.51,OK,353,860,190
1342580,1,22.55,72.6,40.53,OK,353,860,189
1343590,1,22.55,72.6,40.55,OK,364,865,192
1344600,1,22.55,72.6,40.55,OK,367,866,192
1345610,1,22.57,72.62,40.55,OK,349,858,188
1346620,1,22.55,72.6,40.59,OK,362,864,191
1347630,1,22.58,72.65,40.59,OK,380,872,194
1348640,1,22.58,72.65,40.63,OK,380,872,194
1349650,1,22.57,72.62,40.55,OK,387,875,195
1350660,1,22.54,72.57,40.57,OK,385,874,194
1351670,1,22.54,72.57,40.63,OK,376,870,191
1352680,1,22.58,72.65,40.57,OK,382,873,193
1353690,1,22.55,72.6,40.59,OK,382,873,193
1354700,1,22.55,72.6,40.59,OK,396,879,195
1355710,1,22.57,72.62,40.57,OK,405,883,197
1356720,1,22.55,72.6,40.59,OK,391,877,193
1357730,1,22.54,72.57,40.63,OK,385,874,191
1358740,1,22.55,72.6,40.71,OK,385,874,191
1359750,1,22.55,72.6,40.71,OK,382,873,191
1360760,1,22.57,72.62,40.67,OK,382,873,191
1361770,1,22.55,72.6,40.69,OK,376,870,190
1362780,1,22.55,72.6,40.69,OK,382,873,191
1363790,1,22.54,72.57,40.71,OK,396,879,194
1364800,1,22.54,72.57,40.73,OK,400,881,195
1365810,1,22.55,72.6,40.71,OK,405,883,195
1366820,1,22.55,72.6,40.73,OK,416,888,198
1367830,1,22.55,72.6,40.73,OK,427,893,199
1368840,1,22.55,72.6,40.75,OK,431,895,200
1369850,1,22.55,72.6,40.79,OK,434,896,200
1370860,1,22.54,72.57,40.85,OK,425,892,197
1371870,1,22.54,72.57,40.85,OK,418,889,195
1372880,1,22.55,72.6,40.96,OK,418,889,195
1373890,1,22.54,72.57,40.9,OK,407,884,193
1374900,1,22.54,72.57,40.96,OK,393,878,190
1375910,1,22.55,72.6,40.9,OK,396,879,191
1376920,1,22.55,72.6,40.94,OK,409,885,194
1377930,1,22.55,72.6,40.92,OK,407,884,194
1378940,1,22.54,72.57,40.9,OK,407,884,194
1379950,1,22.54,72.57,40.92,OK,411,886,195
1380960,1,22.55,72.6,40.88,OK,418,889,196
1381970,1,22.54,72.57,40.9,OK,429,894,198
1382980,1,22.52,72.54,40.9,OK,434,896,199
1383990,1,22.54,72.57,40.9,OK,414,887,193
1385000,1,22.54,72.57,40.9,OK,398,880,190
1386010,1,22.54,72.57,40.9,OK,407,884,192
1387020,1,22.54,72.57,40.9,OK,425,892,196
1388030,1,22.55,72.6,40.94,OK,418,889,194
1389040,1,22.54,72.57,40.96,OK,396,879,190
1390050,1,22.54,72.57,41.0,OK,411,886,193
1391060,1,22.55,72.6,40.96,OK,420,890,195
1392070,1,22.54,72.57,40.98,OK,425,892,196
1393080,1,22.51,72.51,41.04,OK,434,896,197
1394090,1,22.51,72.51,41.01,OK,431,895,197
1395100,1,22.54,72.57,41.1,OK,427,893,195
1396110,1,22.52,72.54,41.1,OK,434,896,197
1397120,1,22.52,72.54,41.12,OK,434,896,197
1398130,1,22.55,72.6,41.12,OK,445,901,199
1399140,1,22.54,72.57,41.14,OK,447,902,199
1400150,1,22.52,72.54,41.18,OK,438,898,196
1401160,1,22.54,72.57,41.15,OK,440,899,197
1402170,1,22.52,72.54,41.1,OK,422,891,193
1403180,1,22.51,72.51,41.12,OK,420,890,193
1404190,1,22.54,72.57,41.12,OK,420,890,193
1405200,1,22.54,72.57,41.12,OK,427,893,194
1406210,1,22.54,72.57,41.08,OK,422,891,194
1407220,1,22.54,72.57,41.13,OK,407,884,190
1408230,1,22.51,72.51,41.12,OK,409,885,191
1409240,1,22.52,72.54,41.16,OK,393,878,188
1410250,1,22.51,72.51,41.07,OK,396,879,189
1411260,1,22.52,72.54,41.06,OK,409,885,192
1412270,1,22.52,72.54,41.1,OK,402,882,190
1413280,1,22.52,72.54,41.06,OK,387,875,187
1414290,1,22.52,72.54,41.0,OK,393,878,188
1415300,1,22.51,72.51,41.0,OK,405,883,191
1416310,1,22.52,72.54,41.0,OK,416,888,193
1417320,1,22.51,72.51,41.04,OK,387,875,186
1418330,1,22.52,72.54,41.04,OK,385,874,186
1419340,1,22.52,72.54,41.1,OK,402,882,190
1420350,1,22.51,72.51,41.15,OK,400,881,190
1421360,1,22.51,72.51,41.17,OK,400,881,190
1422370,1,22.51,72.51,41.13,OK,409,885,191
1423380,1,22.54,72.57,41.2,OK,420,890,193
1424390,1,22.54,72.57,41.16,OK,425,892,194
1425400,1,22.52,72.54,41.2,OK,438,898,197
1426410,1,22.49,72.48,41.17,OK,431,895,194
1427420,1,22.49,72.48,41.21,OK,440,899,196
1428430,1,22.51,72.51,41.23,OK,416,888,190
1429440,1,22.52,72.54,41.27,OK,427,893,192
1430450,1,22.51,72.51,41.27,OK,436,897,195
1431460,1,22.51,72.51,41.27,OK,440,899,195
1432470,1,22.51,72.51,41.29,OK,451,904,197
1433480,1,22.51,72.51,41.29,OK,436,897,193
1434490,1,22.52,72.54,41.25,OK,445,901,195
1435500,1,22.51,72.51,41.27,OK,451,904,196
1436510,1,22.51,72.51,41.31,OK,474,914,200
1437520,1,22.52,72.54,41.31,OK,460,908,197
1438530,1,22.48,72.46,41.31,OK,458,907,196
1439540,1,22.49,72.48,41.27,OK,471,913,198
1440550,1,22.51,72.51,41.25,OK,469,912,198
1441560,1,22.51,72.51,41.31,OK,489,921,202
1442570,1,22.48,72.46,41.33,OK,498,925,203
1443580,1,22.48,72.46,41.37,OK,503,927,203
1444590,1,22.46,72.43,41.34,OK,500,926,202
1445600,1,22.49,72.48,41.37,OK,500,926,202
1446610,1,22.51,72.51,41.37,OK,494,923,200
1447620,1,22.49,72.48,41.37,OK,494,923,200
1448630,1,22.49,72.48,41.33,OK,494,923,199
1449640,1,22.49,72.48,41.31,OK,487,920,198
1450650,1,22.51,72.51,41.25,OK,485,919,197
1451660,1,22.49,72.48,41.19,OK,489,921,198
1452670,1,22.48,72.46,41.21,OK,492,922,198
1453680,1,22.48,72.46,41.15,OK,487,920,197
1454690,1,22.51,72.51,41.21,OK,483,918,196
1455700,1,22.48,72.46,41.19,OK,494,923,199
